image_name,score
output_True3000567.png,1
output_True30000071.png,1
bicubic_mix_252.png,0
output_True2000086.png,1
output_True6000047.png,1
fastbi_1080_526.png,0
output_True26000066.png,1
output_True3000221.png,1
lanc_1080_349.png,0
output_True24000101.png,1
lanc_1080_26.png,0
bicubic_mix_403.png,0
fastbi_1080_390.png,0
fastbi_1080_176.png,0
output_True24000053.png,1
bicubic_1080_529.png,0
bicubic_1080_21.png,0
bicubic_1080_200.png,0
output_True3000144.png,1
output_True25000144.png,1
output_True3000388.png,1
output_True19000103.png,1
output_True26000170.png,1
bicubic_1080_218.png,0
output_True3000538.png,1
lanc_1080_154.png,0
output_True21000017.png,1
lanczos_mix_438.png,0
fastbi_1080_943.png,0
lanc_1080_123.png,0
output_True6000030.png,1
lanc_1080_669.png,0
output_True20000038.png,1
fastbi_mix_37.png,0
output_True28000023.png,1
output_True14000043.png,1
output_True21000123.png,1
output_True5000005.png,1
fastbi_1080_321.png,0
output_True14000127.png,1
output_True3000048.png,1
bicubic_1080_333.png,0
output_True14000033.png,1
lanczos_mix_39.png,0
output_True10000055.png,1
output_True4000124.png,1
output_True8000097.png,1
bicubic_1080_14.png,0
output_True2000021.png,1
bicubic_1080_282.png,0
output_True21000021.png,1
output_True9000066.png,1
output_True3000171.png,1
fastbi_mix_219.png,0
fastbi_mix_177.png,0
output_True10000059.png,1
output_True15000032.png,1
output_True28000271.png,1
fastbi_1080_854.png,0
fastbi_1080_795.png,0
bicubic_1080_324.png,0
lanc_1080_734.png,0
output_True20000128.png,1
output_True28000115.png,1
fastbi_1080_523.png,0
fastbi_1080_269.png,0
fastbi_1080_281.png,0
output_True25000038.png,1
output_True24000306.png,1
lanc_1080_494.png,0
lanc_1080_751.png,0
output_True24000157.png,1
output_True4000152.png,1
output_True17000001.png,1
bicubic_mix_346.png,0
bicubic_1080_252.png,0
output_True7000044.png,1
fastbi_1080_681.png,0
lanc_1080_390.png,0
fastbi_1080_481.png,0
output_True14000096.png,1
output_True3000514.png,1
output_True3000178.png,1
bicubic_mix_297.png,0
output_True22000005.png,1
output_True6000022.png,1
fastbi_1080_105.png,0
